localid,Language,collection,label,description ,definition,status
0,en,morfo_st,0,unknown,unknown,https://inspire.ec.europa.eu/registry/status/valid
1,en,morfo_st,1,upland plains of low mountain with subparallel drainage pattern,upland plains of low mountain with subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
10,en,morfo_st,10,low and medium hills with medium gradient and subparallel drainage pattern,low and medium hills with medium gradient and subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
100,en,morfo_st,100,volcanic relief of low mountain with low and medium gradient with weakly developed drainage pattern,volcanic relief of low mountain with low and medium gradient with weakly developed drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
101,en,morfo_st,101,treads of low mountain with low gradient with subdentritic drainage pattern,treads of low mountain with low gradient with subdentritic drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
102,en,morfo_st,102,treads of medium elevation,treads of medium elevation,https://inspire.ec.europa.eu/registry/status/valid
103,en,morfo_st,103,treads and low hills with low gradient with subparallel drainage pattern,treads and low hills with low gradient with subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
104,en,morfo_st,104,treads and aggraded landforms with low gradient with isolated hills with medium gradient,treads and aggraded landforms with low gradient with isolated hills with medium gradient,https://inspire.ec.europa.eu/registry/status/valid
105,en,morfo_st,105,treads and slopes with low gradient with weakly developed drainage pattern,treads and slopes with low gradient with weakly developed drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
106,en,morfo_st,106,treads and upland plains of medium and high hills and low mountain with weakly developed rectangular drainage pattern,treads and upland plains of medium and high hills and low mountain with weakly developed rectangular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
107,en,morfo_st,107,low mountain with high gradient with angular drainage pattern,low mountain with high gradient with angular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
108,en,morfo_st,108,terraced stream surfaces,terraced stream surfaces,https://inspire.ec.europa.eu/registry/status/valid
109,en,morfo_st,109,structural surface of volcanic apparatus,structural surface of volcanic apparatus,https://inspire.ec.europa.eu/registry/status/valid
11,en,morfo_st,11,low and medium hills and dissected summit terraces with subdentritic to subparallel drainage pattern,low and medium hills and dissected summit terraces with subdentritic to subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
110,en,morfo_st,110,stream terraces,stream terraces,https://inspire.ec.europa.eu/registry/status/valid
111,en,morfo_st,111,terraces and treads,terraces and treads,https://inspire.ec.europa.eu/registry/status/valid
112,en,morfo_st,112,dissected terraces and treads,dissected terraces and treads,https://inspire.ec.europa.eu/registry/status/valid
113,en,morfo_st,113,dissected marine terraces with parallel drainage pattern,dissected marine terraces with parallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
114,en,morfo_st,114,marine terrace and coastal plane,marine terrace and coastal plane,https://inspire.ec.europa.eu/registry/status/valid
115,en,morfo_st,115,dissected marine terraces,dissected marine terraces,https://inspire.ec.europa.eu/registry/status/valid
116,en,morfo_st,116,slightly dissected marine terrace and coastal planes with dunal bars,slightly dissected marine terrace and coastal planes with dunal bars,https://inspire.ec.europa.eu/registry/status/valid
117,en,morfo_st,117,dissected marine terraces  and coastal planes,dissected marine terraces  and coastal planes,https://inspire.ec.europa.eu/registry/status/valid
118,en,morfo_st,118,"high and medium valley floor with funs and nappe talus with medium gradient, with flow traces from glacial events","high and medium valley floor with funs and nappe talus with medium gradient, with flow traces from glacial events",https://inspire.ec.europa.eu/registry/status/valid
119,en,morfo_st,119,structural terraces with rills and subparallel drainage pattern,structural terraces with rills and subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
12,en,morfo_st,12,high level hills and low mountain with high gradient with subdentritic to subparallel drainage pattern,high level hills and low mountain with high gradient with subdentritic to subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
120,en,morfo_st,120,"terraces, aggraded landforms with low gradient with subparallel drainage pattern","terraces, aggraded landforms with low gradient with subparallel drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
121,en,morfo_st,121,"terraces, aggraded landforms with low gradient and low hills, with subparallel drainage pattern","terraces, aggraded landforms with low gradient and low hills, with subparallel drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
122,en,morfo_st,122,high level hills and low mountain with high gradient with flow traces from glacial events and angular drainage pattern,high level hills and low mountain with high gradient with flow traces from glacial events and angular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
123,en,morfo_st,123,slopes of volcanic apparatus with low and medium gradient,slopes of volcanic apparatus with low and medium gradient,https://inspire.ec.europa.eu/registry/status/valid
124,en,morfo_st,124,slopes of volcanic apparatus proximal to the crater with medium/high gradient,slopes of volcanic apparatus proximal to the crater with medium/high gradient,https://inspire.ec.europa.eu/registry/status/valid
125,en,morfo_st,125,slopes of volcanic apparatus proximal to the caldera with medium gradient with centrifugal drainage pattern,slopes of volcanic apparatus proximal to the caldera with medium gradient with centrifugal drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
126,en,morfo_st,126,low and high mountain with high gradient with subparallel or angular drainage pattern,low and high mountain with high gradient with subparallel or angular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
127,en,morfo_st,127,"valley floor, terraces and aggraded landforms with medium gradient and subparallel drainage pattern","valley floor, terraces and aggraded landforms with medium gradient and subparallel drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
128,en,morfo_st,128,fluvioglacial terraces with erosive escarpment and subparallel drainage pattern and dissected v-shaped,fluvioglacial terraces with erosive escarpment and subparallel drainage pattern and dissected v-shaped,https://inspire.ec.europa.eu/registry/status/valid
129,en,morfo_st,129,slightly convex fluvio-glacial fans with braided channel,slightly convex fluvio-glacial fans with braided channel,https://inspire.ec.europa.eu/registry/status/valid
13,en,morfo_st,13,"low hills and aggraded landforms (terraces, alluvial fans, etc.) with subparallel to subdentritic drainage pattern with low gradient","low hills and aggraded landforms (terraces, alluvial fans, etc.) with subparallel to subdentritic drainage pattern with low gradient",https://inspire.ec.europa.eu/registry/status/valid
130,en,morfo_st,130,low mountain with high gradient and parallel drainage pattern,low mountain with high gradient and parallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
131,en,morfo_st,131,fluvial or fluvioglacial floodplain downstream from the springs with meandering drainage pattern,fluvial or fluvioglacial floodplain downstream from the springs with meandering drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
132,en,morfo_st,132,undifferentiated fluvial floodplain with paleochannel traces with meandering drainage pattern,undifferentiated fluvial floodplain with paleochannel traces with meandering drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
133,en,morfo_st,133,terraced dissected valley floor on the floodplain with braided channel and meandering drainage pattern,terraced dissected valley floor on the floodplain with braided channel and meandering drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
134,en,morfo_st,134,"partially dissected, sometimes terraced flood plane and streams with meandering drainage pattern","partially dissected, sometimes terraced flood plane and streams with meandering drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
135,en,morfo_st,135,medium and high hills with medium and high gradient with subdentritic to subparallel drainage pattern,medium and high hills with medium and high gradient with subdentritic to subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
136,en,morfo_st,136,"low and high mountain with high gradient and low mountain with medium gradient, with subparallel drainage pattern","low and high mountain with high gradient and low mountain with medium gradient, with subparallel drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
137,en,morfo_st,137,delta apparatus and marine deposits landforms with rectified artificial and reclaimed drainage pattern,delta apparatus and marine deposits landforms with rectified artificial and reclaimed drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
138,en,morfo_st,138,flood plane with hanging stream beds and with straightway to meandering drainage pattern,flood plane with hanging stream beds and with straightway to meandering drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
139,en,morfo_st,139,flood plane with hanging stream beds with straightway drainage pattern,flood plane with hanging stream beds with straightway drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
14,en,morfo_st,14,medium and high hills with medium gradient with angular drainage pattern,medium and high hills with medium gradient with angular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
140,en,morfo_st,140,"raised terraces on plain, basculated (direction s-n) with subparallel drainage pattern and dissected v-shaped","raised terraces on plain, basculated (direction s-n) with subparallel drainage pattern and dissected v-shaped",https://inspire.ec.europa.eu/registry/status/valid
141,en,morfo_st,141,high mountain with high gradient and steep with subparallel to angular drainage pattern,high mountain with high gradient and steep with subparallel to angular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
142,en,morfo_st,142,"low and high mountain with medium gradient with dentritic, subdentritic and parallel drainage pattern","low and high mountain with medium gradient with dentritic, subdentritic and parallel drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
143,en,morfo_st,143,beaches,beaches,https://inspire.ec.europa.eu/registry/status/valid
144,en,morfo_st,144,low mountain with high gradient with subdentritic to subparallel drainage pattern,low mountain with high gradient with subdentritic to subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
145,en,morfo_st,145,"low mountain and high hills, steep with subparallel to angular drainage pattern","low mountain and high hills, steep with subparallel to angular drainage pattern",https://inspire.ec.europa.eu/registry/status/valid
146,en,morfo_st,146,"valley floor with braided fluvial channels, bar tops and alluvial fans","valley floor with braided fluvial channels, bar tops and alluvial fans",https://inspire.ec.europa.eu/registry/status/valid
147,en,morfo_st,147,valley floor with braided to meandering drainage pattern,valley floor with braided to meandering drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
148,en,morfo_st,148,"flood plane downstream from the springs with rectified drainage pattern, with bar tops and fluvial rill","flood plane downstream from the springs with rectified drainage pattern, with bar tops and fluvial rill",https://inspire.ec.europa.eu/registry/status/valid
149,en,morfo_st,149,morainic hills,morainic hills,https://inspire.ec.europa.eu/registry/status/valid
15,en,morfo_st,15,"low and high mountain with medium and high gradient, with subparallel drainage pattern and angular on mainly limestone, anhydritic or chalky covered by permanent grassland, grassland-pasture","low and high mountain with medium and high gradient, with subparallel drainage pattern and angular on mainly limestone, anhydritic or chalky covered by permanent grassland, grassland-pasture",https://inspire.ec.europa.eu/registry/status/valid
150,en,morfo_st,150,low hill with medium gradient with subparallel to angular drainage pattern,low hill with medium gradient with subparallel to angular drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
151,en,morfo_st,151,"medium and high hills with medium and high gradient, with angular drainage pattern, with flow traces from glacial events","medium and high hills with medium and high gradient, with angular drainage pattern, with flow traces from glacial events",https://inspire.ec.europa.eu/registry/status/valid
152,en,morfo_st,152,low and medium hills with medium gradient with from subdentritic to subparallel drainage pattern,low and medium hills with medium gradient with from subdentritic to subparallel drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
153,en,morfo_st,153,high mountain with high gradient and steep with radial drainage pattern and glacial morphology,high mountain with high gradient and steep with radial drainage pattern and glacial morphology,https://inspire.ec.europa.eu/registry/status/valid
154,en,morfo_st,154,high and medium valley floor with alluvial fans and nappe talus with medium gradient,high and medium valley floor with alluvial fans and nappe talus with medium gradient,https://inspire.ec.europa.eu/registry/status/valid
155,en,morfo_st,155,low and high mountain with high gradient and steep with karst phenomena,low and high mountain with high gradient and steep with karst phenomena,https://inspire.ec.europa.eu/registry/status/valid
156,en,morfo_st,156,high level hills and low mountain with high gradient with subdentritic drainage pattern,high level hills and low mountain with high gradient with subdentritic drainage pattern,https://inspire.ec.europa.eu/registry/status/valid
